country,COVID cases/100k,deaths_per_100k,capital city latitude,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m
Democratic Republic of the Congo,105.183,1.625,4.316666667,3.4,NaN,42.1,41.5,18.8,4.54,64.7,0.478,507,NaN,NaN,45.1,30.4,59.6,63.6,50.8,76.2,36.4,2.067226891,49.2,23.8,27.1,41.3,13.4,4,6,1.8,5,2,3.2,0.8,6.7,8.4,3.2,0.5755,0.099,0.568,0.6595,0.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Denmark,57577.58,129.286,55.66666667,2.3,5.7,29,1.1,41.9,1.78,81.1,0.939,56600,7.645599842,88,10.7,5.2,16.1,25.6,15,35.8,74.4,1.323987539,85,64.2,34,51,16.9,5.6,8.6,2.6,2,10.3,15.8,4.9,13.2,18.6,6.5,0.766,0.3705,0.729,0.999,0.964,441.799265,242.80872,186.13608,673.37854,643.03949,319.61255,339.5426,9.6142054,11.214058,194.58598,260.06775
Djibouti,1588.057,19.13,11.58333333,6.7,40,40.9,0.7,24.2,2.27,66.7,0.518,3090,NaN,NaN,68.9,56.2,81.6,80.3,71.8,88.9,19.7,2.540540541,28.2,11.1,7.7,13.4,1.9,1.7,2.3,1,2,0.4,0.8,0.1,2.6,3.2,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dominica,21891.625,102.791,15.3,-4.7,23,NaN,0.6,34,2.03,NaN,NaN,NaN,NaN,NaN,30.2,17.7,42.5,54.8,41,68.3,45.2,1.861198738,59,31.7,21.9,35.5,8.3,NaN,NaN,NaN,NaN,11.2,18.1,4.6,17.2,22.2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dominican Republic,5977.704,40.413,18.46666667,4.6,5.1,47.1,3.3,27.3,2.28,72.9,0.751,8000,5.689199924,28,32.8,19.7,45.5,57,43.3,70.3,43,1.909090909,56.7,29.7,19.9,32.8,7.2,6.6,9.6,2.5,4,6.7,10.7,2.8,14.9,19.2,7,0.701,0.172,0.654,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ecuador,5731.049,203.706,0.216666667,2.4,4.6,45.9,0.4,28.1,2.15,76.2,0.762,5950,5.925199986,39,11.6,5.7,17.4,53.5,39.7,67.1,46.5,1.832826748,60.3,32.9,21.3,34.8,7.9,5.7,8.8,1.8,3,4.2,6.4,2,9.3,12,4.3,0.741,0.315,0.687,0.994,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Egypt,503.695,24.232,30.05,4.2,12.2,31.8,23.5,23.9,3.41,70.7,0.701,3830,4.151400089,33,94.3,91.2,97.3,97.2,95.8,98.6,2.8,3,4.2,1.4,0.5,0.9,0.1,1.8,2.6,0.8,1,0.4,0.6,0.1,12.8,15.2,5.5,0.637,0.197,0.412,0.972,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
El Salvador,3110.987,65.215,13.7,2.3,7,36,1,27.6,1.84,75.6,0.67,3920,6.34829998,36,35,20.8,46.8,70.6,58.2,81,29.4,2.2,41.8,19,10.4,19.2,3.1,7.2,11.3,1.9,5,3.9,6.6,1.7,12.2,15.7,5.8,0.7325,0.328,0.631,0.9925,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Equatorial Guinea,1217.832,13.044,3.75,-3.2,8.6,NaN,0.7,19.9,4.29,65.8,0.582,8120,NaN,NaN,14.5,7.5,22,27.1,16.7,38.3,72.9,1.350081037,83.3,61.7,63.1,77.6,47.3,9.4,13.1,4.2,5,7.2,10.1,3.3,15.8,21.1,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Eritrea,287.304,2.904,15.33333333,5,5.8,NaN,9,19.9,3.9,NaN,NaN,NaN,NaN,NaN,68.1,55.1,80.8,79.7,70.8,88.4,20.3,2.517241379,29.2,11.6,8,14.2,2.1,2.2,7.8,2.1,3,1.4,2.4,0.5,5.9,7.2,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Estonia,45847.103,209.936,59.43333333,4.9,5.8,34.8,3.7,43,1.6,77.9,0.889,19700,6.021800041,75,11.6,5.3,16.9,27.2,15.1,37.4,72.8,1.356230032,84.9,62.6,47.4,66.2,29.6,20.2,20.7,19.7,5,9.2,15,4.4,20.9,28.4,9.8,0.733,0.2055,0.7505,1,0.976,459.1508,249.21239,160.16359,663.34558,663.61151,277.80951,345.31406,4.4668403,6.4666839,244.85326,264.07236
Eswatini,6358.584,122.569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.8,0.605,3780,NaN,NaN,55.8,40.8,70.2,71.2,59.6,82.3,28.8,2.282485876,40.4,17.7,16.4,27.5,6,5,3.1,1.1,5,10,17,3.8,32.7,40.6,15.3,0.728,0.157,0.789,0.985,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ethiopia,430.154,6.586,9.033333333,10.9,17.5,33,9.9,18,4.91,68.4,0.478,757,4.186200142,38,64.7,51.1,78.1,77.4,67.9,86.8,22.6,2.431818182,32.1,13.2,9.7,16.8,2.7,3.4,5.1,1.4,4,2.4,3.9,0.8,12,14.7,5.5,0.7005,0.399,0.58,0.852,0.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fiji,7627.35,97.942,18.13333333,3,4.5,NaN,3.4,29.2,2.37,68.3,0.742,5940,NaN,NaN,60.2,46.1,74.7,82.3,74.5,90.2,17.7,2.602040816,25.5,9.8,11.1,18.2,3.7,1.7,2.5,0.6,1,3.3,5.5,1.1,15.2,18.5,6.6,0.675,0.155,0.577,0.997,0.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,25234.033,131.486,60.16666667,2.8,8.5,27.2,0.8,42.6,1.75,81.8,0.937,45600,7.808700085,85,11.4,5.5,17.1,27.5,16.2,38.3,72.5,1.358184765,83.8,61.7,33.3,50.1,16.2,5.8,9.1,2.5,3,10.8,16.8,5.1,14,19.6,6.8,0.8605,0.6755,0.7975,1,0.97,425.84257,235.76947,157.46492,650.72681,630.11621,303.60413,358.7395,40.008617,45.119598,209.89101,248.55974
France,56430.069,238.688,48.86666667,2.3,9.4,29.3,1.2,41.5,2.06,82.9,0.898,38300,6.663799763,69,9.8,4.7,14.6,24.7,14.2,34.4,75.3,1.307926829,85.8,65.6,36,53.7,18.7,5.8,8.9,2.7,3,12.3,19.2,5.8,15.9,22.6,7.9,0.7875,0.457,0.7235,1,0.97,384.732675,224.03085,134.93945,760.88806,742.95538,269.74338,319.1308,9.9747171,7.8422756,175.36299,235.13206
Gabon,2200.308,13.748,0.383333333,0.5,28,42.2,2.7,20.5,3.52,67.5,0.697,7020,4.829299927,30,18.3,9.7,27.1,33.5,21.4,45.9,66.5,1.452865065,78.6,54.1,56.7,72.6,40.5,11.4,17.2,4.8,5,8.7,13.2,4,17.2,22.9,8.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gambia,520.8,15.393,13.45,4.6,NaN,50.2,8,21.3,3.42,66.4,0.487,693,NaN,NaN,68.5,58.1,78.4,73.3,62.2,83.8,26.7,2.333333333,37.8,16.2,9.5,17,2.5,3.3,5.1,1.3,4,3.6,6.1,1.2,13.6,16.9,6.4,0.6425,0.115,0.6055,0.882,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Georgia,45264.948,423.17,41.68333333,5,11.8,40.1,6,38.3,1.76,73.3,0.805,4540,4.672599792,56,33.9,19.8,46.3,64.9,51.1,77,35.1,2.126086957,48.9,23,18.5,30.9,6.7,8.1,12,4.2,5,8.3,13.6,3.6,27.3,35.2,12.3,0.7315,0.2465,0.701,1,0.9775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Germany,43843.846,189.729,52.51666667,2.5,3.8,27,1.7,47.4,1.46,81.2,0.946,43000,7.075799942,80,7.9,3.7,12,20.6,11.5,29.4,79.4,1.253541076,88.5,70.6,39.7,57.6,21.8,5.2,7.9,2.7,3,12.9,19.9,6.2,16.3,23.2,8,0.7985,0.5295,0.7005,0.9925,0.972,443.84807,242.27838,150.43201,658.66205,637.57751,315.76834,346.25378,17.837324,16.204741,205.45386,289.53189
Ghana,550.347,4.702,5.55,8.4,11.9,NaN,12.4,21.2,3.96,65.8,0.606,1890,5.147999763,43,69.5,58.9,79.6,74,63.2,84.3,26,2.343949045,36.8,15.7,8.9,15.8,2.3,3.4,5.6,1.2,4,2.8,4.4,1.2,10,12.5,4.6,0.669,0.135,0.603,0.9595,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Greece,50423.634,320.089,37.98333333,1.4,21.5,36.7,1.1,44.9,1.44,81,0.881,18600,5.514999866,50,15,7.4,22,34.6,21.7,46.7,65.4,1.469043152,78.3,53.3,28.2,44,12.5,4,6,2,2,10.2,16.2,4.5,14.8,20.4,7.1,0.689,0.1265,0.672,0.99,0.966,406.686903,259.48148,95.084076,679.23138,689.48517,310.60394,375.39032,6.5149975,5.7688799,184.53667,274.27158
Greenland,21086.099,36.99,64.18333333,7.7,9.1,33.9,0.3,34,1.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#DIV/0!,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Grenada,17446.211,210.624,12.05,5.1,24,NaN,0.9,32.1,2,NaN,NaN,NaN,NaN,NaN,26.6,15.1,38,50.4,36.4,64.3,49.6,1.781512605,63.6,35.7,25.2,39.9,10.2,4.6,8.2,1,3,9.5,15.1,3.9,17.6,22.9,8.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guatemala,6442.503,111.35,14.61666667,2.8,2.3,53,4.4,22.5,2.87,72.4,0.657,4160,6.398900032,25,38.2,23.9,51.2,72.7,61.4,83.1,27.3,2.284023669,38.6,16.9,9.1,16.5,2.4,5.5,8.6,1.5,4,2.5,4,1,8.5,10.7,4,0.6595,0.1125,0.5745,0.9725,0.9795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guinea,290.517,3.533,9.5,8.2,2.7,39.4,8.9,19,4.98,60.6,0.473,921,4.949299812,28,73.6,64,83.2,78.4,69.3,87.4,21.6,2.436507937,30.7,12.6,6.8,12,1.6,1.6,2.5,0.7,2,1.1,1.9,0.3,5.4,6.6,2.5,0.6535,0.191,0.7755,0.6835,0.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guinea-Bissau,449.593,8.943,11.85,5.9,NaN,NaN,1.1,17.8,4.81,60.3,0.472,638,NaN,NaN,66.1,55.1,76.8,71.2,59.5,82.5,28.8,2.314285714,40.5,17.5,10.8,18.9,2.9,4,6.4,1.5,5,5.4,9,2,15.6,19.2,7.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,9100.988,163.371,6.8,2.1,11.1,44.6,2,26.7,1.97,67.1,0.68,6180,NaN,NaN,36.3,22.6,50,60.9,47.8,74.1,39.1,2.015444015,52.2,25.9,17.6,29.2,5.9,6.4,10.2,1.6,5,6.9,11,2.7,15.1,19.1,7,0.74,0.31,0.68,0.9895,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Haiti,296.75,7.542,18.53333333,1.2,40.6,60.8,14.7,23.3,2.66,63.5,0.508,1410,3.720799923,18,40.4,25.9,54.2,64.9,52.1,77.1,35.1,2.091703057,47.9,22.9,14.9,25.6,4.8,4.4,6.8,1.5,4,2.7,4.5,1.1,15.7,19.9,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Honduras,4624.343,111.494,14.1,4.8,5.6,47.1,3.9,23.3,2.61,71.9,0.633,2480,5.953199863,24,34.8,21.4,48,70.2,58.7,81.5,29.8,2.232432432,41.3,18.5,10.7,18.6,2.9,5.2,7.8,2.2,3,3.8,6.1,1.5,12.9,16,5.9,0.7105,0.196,0.682,1,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hungary,22174.587,494.261,47.5,4,4.2,28.2,2.4,42.7,1.45,76.3,0.85,14400,6.000400066,44,14.2,6.8,20.7,33.4,20.1,45.2,66.6,1.458029197,79.9,54.8,37.9,56.1,20.2,6.9,10.8,3.2,4,11.4,18.1,5.4,16.6,23.2,8,0.6935,0.113,0.686,0.9955,0.98,465.63587,293.76733,162.34105,679.27179,686.29309,256.84116,308.1571,7.6134486,10.551611,202.50626,272.6571
Iceland,56894.165,60.143,64.15,4,2.8,28,1.8,36.7,1.99,84,0.946,57700,7.504499912,75,12.7,6.3,19.1,28.5,17.4,39.7,71.5,1.369817579,82.6,60.3,30.6,46.7,14.1,3.8,5.6,2,2,9.1,13.9,4.3,11.8,16.4,5.8,0.9,0.817,0.8245,0.996,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
India,3237.116,38.451,28.6,6.7,8.5,35.2,3.6,28.1,2.4,70.5,0.642,1920,3.573299885,40,53.5,39.1,68.8,61.2,48.6,74.6,38.8,2.023622047,51.4,25.4,17,27.8,5.4,5.4,8.6,1.5,4,5.5,9,1.9,13.7,17.2,6.2,0.627,0.2715,0.338,0.9615,0.937,489.488646,351.9353,51.767242,669.86035,702.77191,220.94849,282.64328,12.552157,12.246449,184.70367,390.57108
Indonesia,2436.661,58.434,6.166666667,5.1,5.4,36.8,3.8,30.5,2.08,71.1,0.712,3730,5.285600185,37,57.2,42.6,71.8,77.3,67.7,86.8,22.7,2.446969697,32.3,13.2,6.4,11.3,1.4,1.7,2.2,1.1,1,0.6,1,0.2,3.1,3.9,1.4,0.6925,0.1665,0.6605,0.971,0.9705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iran (Islamic Republic of),9000.355,172.197,35.7,3.7,11.8,44.5,9.6,30.8,1.96,77.6,0.785,5200,4.672399998,25,96,93.4,98.7,96.5,94,98.9,3.5,5.454545455,6,1.1,0.1,0.3,0,0.5,0.9,0.1,1,1,1.8,0.3,21.3,23.6,8.5,0.579,0.036,0.359,0.958,0.9635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Iraq,6124.175,63.057,33.33333333,-2.1,16,NaN,0.1,20.2,3.94,73.3,0.671,4790,4.784800053,21,93.8,90.5,97.1,96.9,95.3,98.5,3.1,3.133333333,4.7,1.5,0.6,1.1,0.1,0.5,0.6,0.3,1,0.4,0.7,0.1,11,13,4.8,0.535,0.136,0.228,0.807,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ireland,33817.047,164.57,53.31666667,7.2,6.7,31.3,0.3,37.1,1.96,82,0.951,72600,7.093699932,72,7.4,3.5,11.2,18.7,10.5,26.9,81.3,1.224350205,89.5,73.1,40.5,58.5,22.6,5.1,7.3,2.8,2,12.9,19.6,6.4,14.5,21,7.3,0.802,0.5055,0.7395,0.999,0.964,477.61483,292.5083,126.97815,623.13239,594.72986,286.98392,337.57703,42.442703,39.904442,194.93269,340.81052
Israel,54533.98,136.86,31.76666667,3.3,4.2,42.8,0.2,30.1,2.63,83,0.916,37600,7.128600121,60,24.4,13.4,34.9,45,31.1,58.4,55,1.65625,68.9,41.6,18.4,30.4,6.4,2.5,4.2,0.8,1,4.2,6.6,1.9,6.4,8.6,3.1,0.7255,0.234,0.703,1,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Italy,40677.489,303.644,41.9,1.5,11.3,31.9,1.3,45.8,1.45,83.1,0.89,31600,6.38740015,53,27.4,15.1,38.8,32.2,18.8,45.6,67.8,1.492647059,81.2,54.4,25,39.7,10.3,3.6,5.7,1.7,1,7.8,12.5,3.5,11.3,15.6,5.4,0.7205,0.316,0.606,0.996,0.965,395.489335,306.33594,130.70905,705.32733,710.31842,280.92224,366.09576,14.294777,12.062819,133.11972,220.81396
Jamaica,5150.571,114.786,18,0.7,12.2,35,4.4,28.6,2.09,76.3,0.734,5040,5.889800072,44,40.8,26.3,54.9,65.1,52.6,77.4,34.9,2.097345133,47.4,22.6,14.7,25,4.6,2.7,4.5,0.6,2,4.2,6.8,1.7,11.3,14.3,5.2,0.745,0.23,0.783,1,0.9675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Japan,19493.564,39.086,35.68333333,1.7,2.9,37.9,0.5,47.7,1.42,84.8,0.917,36200,5.870800018,74,9.1,4.3,13.7,43,28.7,56.3,57,1.631578947,71.3,43.7,28.7,44.7,12.6,4.2,6.4,1.9,2,8,12.3,3.9,13.1,17.8,6.2,0.653,0.061,0.584,0.9915,0.973,494.1884945,224.30183,40.767059,626.42706,613.23279,266.19537,291.82288,51.403179,42.559521,271.52426,451.78384
Jordan,17122.161,138.408,31.95,2,18.3,39.7,3.3,22.8,3.14,77.9,0.728,4110,4.633399963,49,93.9,90.7,97.2,97,95.5,98.6,3,3.214285714,4.5,1.4,0.6,1,0.1,1,1.4,0.4,1,0.7,1.2,0.2,23.5,27.6,10.1,0.6385,0.0675,0.5375,0.992,0.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kazakhstan,7919.685,101.471,51.16666667,4,5,26.3,7.4,30.9,2.22,71.7,0.819,11100,6.057899952,38,31.5,18.2,43.5,60.1,45.7,72.8,39.9,1.996323529,54.3,27.2,19.9,33.3,7.5,10.3,14.6,5.5,5,4.8,7.9,1.9,19.4,25.1,8.9,0.7145,0.142,0.742,0.9975,0.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kenya,635.125,10.571,1.283333333,4.9,40,48.5,8,20,2.81,66.1,0.599,1470,4.583000183,31,63.1,49.2,76.9,76.1,66.2,86,23.9,2.414285714,33.8,14,10.3,17.8,2.9,4,6.3,1.1,4,2.8,4.6,1.1,13.1,16.1,6,0.7105,0.1925,0.7415,0.934,0.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kiribati,2871.518,10.883,1.35,3.1,30.6,NaN,0.4,25,2.34,NaN,NaN,NaN,NaN,NaN,70.5,57.7,82.4,87.9,81.9,93.5,12.1,2.784615385,18.1,6.5,6.7,11.8,2,1.3,1.9,0.7,1,0.5,0.8,0.2,3.2,3.9,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kosovo,15156.828,177.761,42.66666667,3.7,30.5,23.2,1.5,29.6,NaN,NaN,NaN,NaN,6.325200081,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#DIV/0!,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kuwait,15517.176,60.179,29.36666667,-3.3,1.1,NaN,1.5,29.4,2.35,81.6,0.807,27500,6.102099895,42,97.9,97,99.1,99.4,99.2,99.8,0.6,4,0.8,0.2,0,0,0,0.4,0.5,0.1,1,0,0,0,0.8,0.9,0.3,0.6265,0.0225,0.52,0.997,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Kyrgyzstan,3165.603,45.845,42.86666667,4.6,7.1,33.4,3.2,26.8,2.59,73.3,0.696,1200,5.541500092,31,46,30.8,60.4,74.1,63.2,84.5,25.9,2.374193548,36.8,15.5,11.1,19.4,3.2,10.9,15.1,5.6,5,6.3,10.8,2,23.6,29.3,10.6,0.6905,0.116,0.674,0.993,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
