id	beer	sprit	wine	total
894	32	19	4	2.5
887	6	0	0	0.1
862	333	100	3	7.7
860	25	101	8	2.4
858	115	35	220	6.6
854	25	7	7	4.3
840	249	158	84	8.7
834	36	6	1	5.7
826	219	126	195	10.4
818	6	4	1	0.2
807	106	27	86	3.9
804	206	237	45	8.9
800	45	9	0	8.3
795	19	71	32	2.2
792	51	22	7	1.4
788	51	3	20	1.3
784	16	135	5	2.8
780	197	156	7	6.4
762	2	15	0	0.3
724	284	157	112	10.0
716	64	18	4	4.7
710	225	76	81	8.2
706	0	0	0	0.0
705	270	51	276	10.6
704	111	2	1	2.0
703	196	293	116	11.4
694	25	3	2	6.7
688	283	131	127	9.6
686	9	1	7	0.3
682	0	5	0	0.1
646	43	2	0	6.8
642	297	122	167	10.4
634	1	42	7	0.9
626	1	1	4	0.1
624	28	31	21	2.5
616	343	215	56	10.9
608	71	186	1	4.6
604	163	160	21	6.1
600	213	117	74	7.3
598	44	39	1	1.5
591	285	104	18	7.2
578	169	71	129	6.7
566	42	5	2	9.1
562	3	2	1	0.1
558	78	118	1	3.5
554	203	79	175	9.3
548	21	18	11	0.9
524	5	6	0	0.2
512	22	16	1	0.7
504	12	6	10	0.5
499	31	114	128	4.9
498	109	226	18	6.3
496	77	189	8	4.9
484	238	68	5	5.5
478	0	0	0	0.0
466	5	1	1	0.6
458	13	4	0	0.3
454	8	11	1	1.5
450	26	15	4	0.8
442	236	133	271	11.4
440	343	244	56	12.9
434	0	0	0	0.0
430	19	152	2	3.1
428	281	216	62	10.5
426	82	29	0	2.8
422	20	55	31	1.9
418	62	0	123	6.2
417	31	97	6	2.4
414	0	0	0	0.0
410	140	16	9	9.8
408	0	0	0	0.0
404	58	22	2	1.8
400	6	21	1	0.5
398	124	246	12	6.8
392	77	202	16	7.0
388	82	97	9	3.4
384	37	1	7	4.0
380	85	42	237	6.5
376	63	69	9	2.5
372	313	118	165	11.4
368	9	3	0	0.2
364	0	0	0	0.0
360	5	1	0	0.1
356	9	114	0	2.2
352	233	61	78	6.6
348	234	215	185	11.3
340	69	98	2	3.0
332	1	326	1	5.9
328	93	302	1	7.1
324	9	0	2	0.2
320	53	69	2	2.2
300	133	112	218	8.3
288	31	3	10	1.8
276	346	117	175	11.3
270	8	0	1	2.4
268	52	100	149	5.4
266	347	98	59	8.9
262	15	44	3	1.1
250	127	151	370	11.8
246	263	133	97	10.0
242	77	35	1	2.0
233	224	194	59	9.5
232	18	0	0	0.5
231	20	3	0	0.7
226	92	0	233	5.8
222	52	69	2	2.2
218	162	74	3	4.2
214	193	147	9	6.2
208	224	81	278	10.4
204	34	4	13	1.1
203	361	170	134	11.8
196	192	154	113	8.2
192	93	137	5	4.2
191	230	87	254	10.2
188	149	87	11	4.4
180	32	3	1	2.3
178	76	1	9	1.7
170	159	76	3	4.2
156	79	192	8	5.0
152	130	124	172	7.6
148	15	1	1	0.4
144	16	104	0	2.2
140	17	2	1	1.8
124	240	122	100	8.2
120	147	1	4	5.8
116	57	65	1	2.2
112	142	373	42	14.4
108	88	0	0	6.3
104	5	1	0	0.1
100	231	252	94	10.3
96	31	2	1	0.6
90	56	11	1	1.2
84	263	114	8	6.8
76	245	145	16	7.2
72	173	35	35	5.4
70	76	173	8	4.6
68	167	41	8	3.8
64	23	0	0	0.4
56	295	84	212	10.5
51	21	179	11	3.8
50	0	0	0	0.0
44	122	176	51	6.3
40	279	75	191	9.7
36	261	72	212	10.4
32	193	25	221	8.3
31	21	46	5	1.3
24	217	57	45	5.9
12	25	0	14	0.7
8	89	132	54	4.9
4	0	0	0	0.0
158	NaN	NaN	NaN	NaN.NaN
728	NaN	NaN	NaN	NaN.NaN
630	NaN	NaN	NaN	NaN.NaN
304	NaN	NaN	NaN	NaN.NaN
260	NaN	NaN	NaN	NaN.NaN
238	NaN	NaN	NaN	NaN.NaN
10	NaN	NaN	NaN	NaN.NaN
732	NaN	NaN	NaN	NaN.NaN
508	NaN	NaN	NaN	NaN.NaN
516	NaN	NaN	NaN	NaN.NaN
528	NaN	NaN	NaN	NaN.NaN
540	NaN	NaN	NaN	NaN.NaN
586	NaN	NaN	NaN	NaN.NaN
620	NaN	NaN	NaN	NaN.NaN
643	NaN	NaN	NaN	NaN.NaN
752	NaN	NaN	NaN	NaN.NaN
756	NaN	NaN	NaN	NaN.NaN
760	NaN	NaN	NaN	NaN.NaN
764	NaN	NaN	NaN	NaN.NaN
768	NaN	NaN	NaN	NaN.NaN
729	NaN	NaN	NaN	NaN.NaN
740	NaN	NaN	NaN	NaN.NaN
748	NaN	NaN	NaN	NaN.NaN